3675 -> error: 8.08448526361073
3700 -> error: 5.6752190098115305
3725 -> error: 5.2779640945653
3750 -> error: 3.320065334320654
3775 -> error: 3.9159139491554127
3800 -> error: 3.950403535728062
3825 -> error: 5.598951255143297
3850 -> error: 8.968651747746886
3875 -> error: 4.270559063300116
3900 -> error: 5.416863931829655
3925 -> error: 5.9265350284839835
3950 -> error: 4.863144372446273
3975 -> error: 5.357106610130118
4000 -> error: 5.930923835621674
4025 -> error: 4.771578512617727
4050 -> error: 7.587674194548497
4075 -> error: 5.625616760349586
4100 -> error: 7.313582380998545
4125 -> error: 8.883004460739155
4150 -> error: 3.6747343577179126
4175 -> error: 5.6004559263189995
4200 -> error: 7.800228154684754
4225 -> error: 6.844778601978842
4250 -> error: 7.31641433153251
4275 -> error: 5.697171215364493
4300 -> error: 5.231582488838765
4325 -> error: 7.258862307602509
4350 -> error: 4.047569185906186
4375 -> error: 4.23535437712467
4400 -> error: 3.521384984124982
4425 -> error: 6.344629085872923
4450 -> error: 4.225401431543568
4475 -> error: 3.075231286011408
4500 -> error: 6.052741937918799
4525 -> error: 8.485288117731653
4550 -> error: 8.75536944626696
4575 -> error: 3.6869736635257144
4600 -> error: 7.117647627226381
4625 -> error: 7.565228939285882
4650 -> error: 6.095915580745695
4675 -> error: 3.6016947624761793
4700 -> error: 4.269137211631676
4725 -> error: 3.891592005163923
4750 -> error: 4.88672460468774
4775 -> error: 5.238066416409288
4800 -> error: 6.66272774999524
4825 -> error: 6.5097530260716665
4850 -> error: 5.410268535894791
4875 -> error: 5.192981810974436
4900 -> error: 4.747633294217478
4925 -> error: 5.514612899295575
4950 -> error: 7.19303906173208
4975 -> error: 4.770740002825614
5000 -> error: 4.315033762635081
5025 -> error: 4.473467704092715
5050 -> error: 4.792438256985841
5075 -> error: 7.344315137829395
5100 -> error: 6.909248909215961
5125 -> error: 4.836180845679692
5150 -> error: 4.655329875791984
5175 -> error: 6.179408167181616
5200 -> error: 4.988506267254997
5225 -> error: 5.87158720845016
5250 -> error: 5.135987018640103
5275 -> error: 6.145101143708397
5300 -> error: 9.498448696967614
5325 -> error: 5.7098426030206415
5350 -> error: 7.468901181785795
5375 -> error: 4.830238250163725
5400 -> error: 4.152289547212082
5425 -> error: 4.155762149029543
5450 -> error: 5.507886780582887
5475 -> error: 6.031363846885348
5500 -> error: 4.581466132630304
5525 -> error: 4.875258414437531
5550 -> error: 4.7361064300563696
5575 -> error: 7.208188740891599
5600 -> error: 5.0125774501229845
5625 -> error: 5.788561018048266
5650 -> error: 6.552981203436181
5675 -> error: 4.334396060818177
5700 -> error: 5.229381035087407
5725 -> error: 4.727327950028339
5750 -> error: 4.177613843808271
5775 -> error: 7.314735005833527
5800 -> error: 4.267174296182314
5825 -> error: 7.036943766698977
5850 -> error: 7.165337136130725
5875 -> error: 6.8371527937581815
5900 -> error: 7.615390162551152
5925 -> error: 6.703163413624634
5950 -> error: 5.700176490594461
5975 -> error: 7.629159512005182
6000 -> error: 4.5851565578276645
6025 -> error: 6.4118559337287495
6050 -> error: 5.193540434390815
6075 -> error: 5.167983328293403
6100 -> error: 3.80552698543866
6125 -> error: 6.782593484157656
6150 -> error: 7.872851123992923
6175 -> error: 4.259059450435477
6200 -> error: 5.816395756370655
6225 -> error: 5.526899965620915
6250 -> error: 5.755086556321456
6275 -> error: 6.2498159762947285
6300 -> error: 4.214424911490858
6325 -> error: 5.387904622401251
6350 -> error: 4.508039498522529
6375 -> error: 6.369684733639258
6400 -> error: 3.4327316503853207
6425 -> error: 4.10380565520748
6450 -> error: 5.783648678906389
6475 -> error: 4.394020152570569
6500 -> error: 6.047258231860347
6525 -> error: 5.022938942381889
6550 -> error: 6.204530955376136
6575 -> error: 5.194420300505224
6600 -> error: 4.6463277693370175
6625 -> error: 4.818130568138525
6650 -> error: 5.792243690928211
6675 -> error: 8.867399587909645
6700 -> error: 6.055748079993884
6725 -> error: 3.755646460058079
6750 -> error: 4.1319080653935485
6775 -> error: 3.056408643603125
6800 -> error: 3.132539732514378
6825 -> error: 4.94078148069864
6850 -> error: 4.720512010638054
6875 -> error: 5.815003214972174
6900 -> error: 7.9057045247076125
6925 -> error: 6.8609931444879715
6950 -> error: 5.584525915667219
6975 -> error: 5.428638472178921
7000 -> error: 6.42904226001848
7025 -> error: 4.842744193707076
7050 -> error: 4.371761540323774
7075 -> error: 4.8703651892877975
7100 -> error: 2.99741776914328
7125 -> error: 8.540680420546037
7150 -> error: 3.8098267735627647
7175 -> error: 6.335473886783623
7200 -> error: 7.43959003221361
7225 -> error: 5.697540140583869
7250 -> error: 4.468986878419137
7275 -> error: 6.141403964189881
7300 -> error: 6.912274662918495
7325 -> error: 5.098271335018248
7350 -> error: 7.908077948425832
7375 -> error: 5.883832420094398
7400 -> error: 4.013779034077413
7425 -> error: 7.202828423937884
7450 -> error: 3.6003022543860137
7475 -> error: 5.703925256889473
7500 -> error: 2.690768715878166
7525 -> error: 3.075348352068797
7550 -> error: 5.438607114134919
7575 -> error: 5.395221552785177
7600 -> error: 6.991455039760897
7625 -> error: 7.082628581572785
7650 -> error: 6.492486866499609
7675 -> error: 3.5788313655684125
7700 -> error: 4.554072081667616
7725 -> error: 6.530192458396702
7750 -> error: 7.77540558864109
7775 -> error: 3.4815198208191127
7800 -> error: 5.214074513138881
7825 -> error: 6.062657934274978
7850 -> error: 5.588870514944187
7875 -> error: 5.451837338456663
7900 -> error: 4.704295066700745
7925 -> error: 3.593897012108524
7950 -> error: 5.792298024113269
7975 -> error: 5.047970490503887
8000 -> error: 6.697958780475673
8025 -> error: 6.180071137645377
8050 -> error: 6.22078989588227
8075 -> error: 4.737057369761745
